county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Alameda,5/13/2020,81,59,140,2446,37,12,117
Alameda,5/14/2020,82,56,138,2446,37,13,118
Alameda,5/15/2020,76,72,148,2446,38,19,117
Alameda,5/16/2020,81,64,145,2446,40,10,114
Alameda,5/17/2020,74,72,146,2446,38,15,125
Alameda,5/18/2020,87,51,138,2968,42,10,120
Alameda,5/19/2020,83,108,191,2968,40,16,122
Alameda,5/20/2020,81,134,215,2968,39,24,112
Alameda,5/21/2020,77,162,239,2968,39,23,114
Alameda,5/22/2020,79,81,160,2968,38,17,119
Alameda,5/23/2020,80,78,158,2968,41,19,110
Alameda,5/24/2020,88,61,149,2968,44,11,119
Alameda,5/25/2020,91,65,156,2968,40,20,115
Alameda,5/26/2020,93,76,169,2968,37,20,124
Alameda,5/27/2020,95,69,164,2968,37,10,128
Alameda,5/28/2020,96,57,153,2968,44,13,106
Alameda,5/29/2020,102,77,179,2968,42,12,118
Alameda,5/30/2020,105,41,146,2968,38,12,126
Alameda,5/31/2020,99,33,132,2968,37,8,131
Alameda,6/1/2020,97,51,148,2968,37,9,134
Alameda,6/2/2020,92,68,160,2968,33,5,131
Alameda,6/3/2020,89,80,169,2968,32,6,144
Alameda,6/4/2020,82,92,174,2968,32,9,157
Alameda,6/5/2020,82,68,150,2968,30,10,154
Alameda,6/6/2020,83,72,155,2968,30,11,156
Alameda,6/7/2020,92,74,166,2968,29,11,152
Alameda,6/8/2020,92,60,152,2968,31,12,144
Alameda,6/9/2020,94,52,146,2968,32,9,137
Alameda,6/10/2020,88,46,134,2968,32,11,147
Alameda,6/11/2020,86,38,124,2968,32,7,145
Alameda,6/12/2020,84,42,126,2968,35,6,120
Alameda,6/13/2020,87,27,114,2968,33,3,150
Alameda,6/14/2020,88,36,124,2968,33,9,149
Alameda,6/15/2020,98,31,129,2968,37,9,148
Alameda,6/16/2020,95,38,133,2968,36,12,142
Alameda,6/17/2020,90,47,137,2968,36,13,135
Alameda,6/18/2020,77,53,130,2968,38,16,195
Alameda,6/19/2020,80,57,137,2968,36,20,192
Alameda,6/20/2020,77,44,121,2968,33,12,203
Alameda,6/21/2020,76,43,119,2968,30,12,203
Alameda,6/22/2020,78,34,112,2968,30,8,196
Alameda,6/23/2020,86,42,128,2968,33,11,196
Alameda,6/24/2020,89,41,130,2968,31,9,147
Alameda,6/25/2020,91,49,140,2968,34,10,147
Alameda,6/26/2020,92,41,133,2968,35,9,123
Alameda,6/27/2020,99,40,139,2968,36,11,115
Alameda,6/28/2020,102,39,141,2968,35,10,124
Alameda,6/29/2020,111,35,146,2968,38,6,138
Alameda,6/30/2020,116,41,157,2968,43,6,143
Alameda,7/1/2020,123,47,170,2968,43,12,141
Alameda,7/2/2020,141,52,193,2968,45,10,129
Alameda,7/3/2020,157,51,208,2968,46,9,126
Alameda,7/4/2020,146,44,190,2968,44,8,137
Alameda,7/5/2020,146,37,183,2968,48,10,134
Alameda,7/6/2020,142,45,187,2968,50,10,132
Alameda,7/7/2020,145,45,190,2968,51,13,133
Alameda,7/8/2020,140,48,188,2968,55,8,127
Alameda,7/9/2020,133,52,185,2968,53,13,128
Alameda,7/10/2020,137,46,183,2968,53,9,122
Alameda,7/11/2020,144,44,188,2968,48,12,121
Alameda,7/12/2020,150,37,187,2968,50,9,139
Alameda,7/13/2020,152,48,200,2968,52,9,144
Alameda,7/14/2020,158,46,204,2968,56,8,144
Alameda,7/15/2020,159,43,202,2968,58,10,143
Alameda,7/16/2020,164,47,211,2968,50,6,142
Alameda,7/17/2020,157,49,206,2968,48,5,149
Alameda,7/18/2020,163,63,226,2968,49,4,151
Alameda,7/19/2020,159,69,228,2968,53,10,128
Alameda,7/20/2020,171,59,230,2968,51,8,121
Alameda,7/21/2020,176,63,239,2968,52,10,116
Alameda,7/22/2020,166,75,241,1539,52,7,-8
Alameda,7/23/2020,201,82,283,2073,47,9,90
Alameda,7/24/2020,188,65,253,2035,51,6,111
Alameda,7/25/2020,180,67,247,2025,58,7,105
Alameda,7/26/2020,188,69,257,2174,62,12,96
Alameda,7/27/2020,198,51,249,2142,65,10,98
Alameda,7/28/2020,213,43,256,2343,64,3,114
Alameda,7/29/2020,204,58,262,2401,59,10,94
Alameda,7/30/2020,198,47,245,2454,60,6,92
Alameda,7/31/2020,202,49,251,2486,58,5,102
Alameda,8/1/2020,198,50,248,2478,56,7,99
Alameda,8/2/2020,194,42,236,2434,55,9,91
Alameda,8/3/2020,193,49,242,2334,55,6,84
Alameda,8/4/2020,196,54,250,2363,53,10,93
Alameda,8/5/2020,190,56,246,2414,49,7,98
Alameda,8/6/2020,175,50,225,2407,52,7,98
Alameda,8/7/2020,167,47,214,2393,51,9,87
Alameda,8/8/2020,163,45,208,2376,58,6,92
Alameda,8/9/2020,169,45,214,2340,55,2,92
Alameda,8/10/2020,166,38,204,2330,56,2,90
Alameda,8/11/2020,170,53,223,2362,59,7,90
Alameda,8/12/2020,172,46,218,2371,57,3,77
Alameda,8/13/2020,165,40,205,2359,61,4,89
Alameda,8/14/2020,172,38,210,2358,61,7,92
Alameda,8/15/2020,181,48,229,2381,65,12,88
Alameda,8/16/2020,188,56,244,2371,63,10,93
Alameda,8/17/2020,205,52,257,2335,69,10,82
Alameda,8/18/2020,200,50,250,2375,70,5,92
Alameda,8/19/2020,202,56,258,2410,68,4,95
Alameda,8/20/2020,204,50,254,2438,73,4,91
Alameda,8/21/2020,207,53,260,2459,69,8,82
Alameda,8/22/2020,196,52,248,2434,65,9,86
Alameda,8/23/2020,187,46,233,2419,64,6,97
Alameda,8/24/2020,179,48,227,2396,69,7,92
Alameda,8/25/2020,179,50,229,2398,65,7,89
Alameda,8/26/2020,190,48,238,2416,69,9,78
Alameda,8/27/2020,198,47,245,2445,67,20,77
Alameda,8/28/2020,202,46,248,2456,63,7,89
Alameda,8/29/2020,188,44,232,2426,58,6,76
Alameda,8/30/2020,183,37,220,2414,53,3,89
Alameda,8/31/2020,173,46,219,2372,46,10,96
Alameda,9/1/2020,162,48,210,2395,49,8,87
Alameda,9/2/2020,150,41,191,2404,44,6,95
Alameda,9/3/2020,147,54,201,2401,43,4,95
Alameda,9/4/2020,142,35,177,2391,44,3,100
Alameda,9/5/2020,145,42,187,2406,37,4,105
Alameda,9/6/2020,146,43,189,2405,40,2,114
Alameda,9/7/2020,148,57,205,2371,38,5,113
Alameda,9/8/2020,154,50,204,2388,40,7,107
Alameda,9/9/2020,149,40,189,2391,38,8,105
Alameda,9/10/2020,142,41,183,2432,39,6,88
Alameda,9/11/2020,131,47,178,2444,33,10,100
Alameda,9/12/2020,121,47,168,2419,35,9,102
Alameda,9/13/2020,115,47,162,2418,33,9,118
Alameda,9/14/2020,118,37,155,2385,33,8,117
Alameda,9/15/2020,110,44,154,2395,34,8,118
Alameda,9/16/2020,101,46,147,2401,33,4,121
Alameda,9/17/2020,98,37,135,2411,31,5,117
Alameda,9/18/2020,99,39,138,2415,36,5,113
Alameda,9/19/2020,95,48,143,2416,37,5,112
Alameda,9/20/2020,98,46,144,2415,38,8,108
Alameda,9/21/2020,96,34,130,2337,36,5,115
Alameda,9/22/2020,91,36,127,2370,35,5,117
Alameda,9/23/2020,92,43,135,2386,32,5,120
Alameda,9/24/2020,87,36,123,2383,31,8,122
Alameda,9/25/2020,86,27,113,2377,30,2,125
Alameda,9/26/2020,75,36,111,2363,24,6,118
Alameda,9/27/2020,76,37,113,2364,25,5,124
Alameda,9/28/2020,79,35,114,2368,25,7,125
Alameda,9/29/2020,78,47,125,2390,26,5,126
Alameda,9/30/2020,84,32,116,2415,27,2,121
Alameda,10/1/2020,94,36,130,2433,28,5,101
Alameda,10/2/2020,76,34,110,2380,27,4,103
Alameda,10/3/2020,78,41,119,2396,27,6,101
Alameda,10/4/2020,71,29,100,2379,23,6,115
Alameda,10/5/2020,73,37,110,2381,23,6,110
Alameda,10/6/2020,75,40,115,2416,24,5,113
Alameda,10/7/2020,66,34,100,2417,25,3,116
Alameda,10/8/2020,61,44,105,2416,21,4,106
Alameda,10/9/2020,59,41,100,2417,21,4,111
Alameda,10/10/2020,64,46,110,2422,24,5,121
Alameda,10/11/2020,61,44,105,2354,20,7,126
Alameda,10/12/2020,61,45,106,2332,19,9,124
Alameda,10/13/2020,63,32,95,2363,19,5,126
Alameda,10/14/2020,59,40,99,2371,15,5,125
Alameda,10/15/2020,57,42,99,2366,16,1,133
Alameda,10/16/2020,52,43,95,2356,17,2,130
Alameda,10/17/2020,54,36,90,2340,19,5,133
Alameda,10/18/2020,54,42,96,2329,20,5,128
Alameda,10/19/2020,53,48,101,2319,20,5,128
Alameda,10/20/2020,58,37,95,2354,18,5,127
Alameda,10/21/2020,61,37,98,2564,16,3,121
Alameda,10/22/2020,61,43,104,2575,15,3,125
Alameda,10/23/2020,55,46,101,2404,11,7,121
Alameda,10/24/2020,54,27,81,2404,14,5,125
Alameda,10/25/2020,56,38,94,2420,16,4,119
Alameda,10/26/2020,58,31,89,2380,17,2,114
Alameda,10/27/2020,58,34,92,2412,17,6,116
Alameda,10/28/2020,58,41,99,2415,17,6,117
Alameda,10/29/2020,57,34,91,2417,14,5,126
Alameda,10/30/2020,68,42,110,2426,17,5,116
Alameda,10/31/2020,62,49,111,2412,19,4,124
Alameda,11/1/2020,63,46,109,2394,18,6,125
Alameda,11/2/2020,69,41,110,2407,17,6,126
Alameda,11/3/2020,65,51,116,2484,16,4,114
Alameda,11/4/2020,63,45,108,2505,17,6,122
Alameda,11/5/2020,66,43,109,2509,16,5,126
Alameda,11/6/2020,66,41,107,2508,17,3,116
Alameda,11/7/2020,69,37,106,2479,18,5,106
Alameda,11/8/2020,69,48,117,2439,21,7,120
Alameda,11/9/2020,63,45,108,2429,18,7,113
Alameda,11/10/2020,70,51,121,2471,20,10,107
Alameda,11/11/2020,75,36,111,2453,19,6,96
Alameda,11/12/2020,70,39,109,2434,20,5,102
Alameda,11/13/2020,74,38,112,2458,20,6,98
Alameda,11/14/2020,69,36,105,2483,19,6,100
Alameda,11/15/2020,71,39,110,2483,22,5,107
Alameda,11/16/2020,89,28,117,2438,24,3,110
Alameda,11/17/2020,95,24,119,2474,22,4,99
Alameda,11/18/2020,103,30,133,2501,21,4,94
Alameda,11/19/2020,104,30,134,2506,23,5,88
Alameda,11/20/2020,97,31,128,2507,25,5,89
Alameda,11/21/2020,108,24,132,2513,25,4,92
Alameda,11/22/2020,115,35,150,2486,23,3,114
Alameda,11/23/2020,123,26,149,2479,26,2,104
Alameda,11/24/2020,138,38,176,2505,32,5,98
Alameda,11/25/2020,143,50,193,2536,37,6,97
Alameda,11/26/2020,157,54,211,2524,40,6,88
Alameda,11/27/2020,163,41,204,2491,42,4,98
Alameda,11/28/2020,168,38,206,2506,48,5,88
Alameda,11/29/2020,171,33,204,2500,52,7,98
Alameda,11/30/2020,188,35,223,2519,51,4,104
Alameda,12/1/2020,187,47,234,2552,57,3,75
Alameda,12/2/2020,195,43,238,2563,58,5,85
Alameda,12/3/2020,206,49,255,2586,58,3,91
Alameda,12/4/2020,213,38,251,2562,61,3,91
Alameda,12/5/2020,227,32,259,2556,58,3,98
Alameda,12/6/2020,226,40,266,2544,60,2,98
Alameda,12/7/2020,232,36,268,2527,57,4,97
Alameda,12/8/2020,242,38,280,2541,63,5,87
Alameda,12/9/2020,254,47,301,2550,69,8,75
Alameda,12/10/2020,278,34,312,2550,81,5,70
Alameda,12/11/2020,281,36,317,2553,77,5,63
Alameda,12/12/2020,286,34,320,2549,79,7,67
Alameda,12/13/2020,302,47,349,2540,88,6,74
Alameda,12/14/2020,330,44,374,2532,95,3,73
Alameda,12/15/2020,332,45,377,2556,93,5,72
Alameda,12/16/2020,336,39,375,2558,89,5,73
Alameda,12/17/2020,352,50,402,2557,93,3,65
Alameda,12/18/2020,353,49,402,2529,92,9,70
Alameda,12/19/2020,359,42,401,2529,100,10,75
Alameda,12/20/2020,373,41,414,2531,97,8,90
Alameda,12/21/2020,373,38,411,2532,106,6,82
Alameda,12/22/2020,388,40,428,2525,118,9,68
Alameda,12/23/2020,403,46,449,2521,124,8,67
Alameda,12/24/2020,385,37,422,2507,117,4,76
Alameda,12/25/2020,389,38,427,2493,113,2,81
Alameda,12/26/2020,412,37,449,2506,118,4,80
Alameda,12/27/2020,418,35,453,2503,115,4,75
Alameda,12/28/2020,441,32,473,2518,117,3,70
Alameda,12/29/2020,449,32,481,2557,123,3,72
Alameda,12/30/2020,454,42,496,2526,115,5,71
Alameda,12/31/2020,454,43,497,2529,115,6,67
Alameda,1/1/2021,430,38,468,2514,114,4,63
Alameda,1/2/2021,428,48,476,2513,116,8,59
Alameda,1/3/2021,425,41,466,2473,116,6,62
Alameda,1/4/2021,424,57,481,2492,109,6,64
Alameda,1/5/2021,442,51,493,2512,109,7,71
Alameda,1/6/2021,431,50,481,2514,112,4,69
Alameda,1/7/2021,432,61,493,2525,110,4,72
Alameda,1/8/2021,442,52,494,2525,112,5,67
Alameda,1/9/2021,428,43,471,2526,115,6,66
Alameda,1/10/2021,424,37,461,2516,113,4,68
Alameda,1/11/2021,428,50,478,2487,115,5,70
Alameda,1/12/2021,430,38,468,2505,107,5,61
Alameda,1/13/2021,437,55,492,2527,116,7,59
Alameda,1/14/2021,437,52,489,2528,119,7,59
Alameda,1/15/2021,422,48,470,2521,119,6,59
Alameda,1/16/2021,446,48,494,2516,121,7,64
Alameda,1/17/2021,458,44,502,2503,115,9,70
Alameda,1/18/2021,445,40,485,2480,119,5,72
Alameda,1/19/2021,443,47,490,2491,123,5,70
Alameda,1/20/2021,416,41,457,2484,121,6,61
Alameda,1/21/2021,409,42,451,2513,122,5,66
Alameda,1/22/2021,406,38,444,2508,115,4,69
Alameda,1/23/2021,404,40,444,2531,109,4,73
Alameda,1/24/2021,406,39,445,2514,115,4,70
Alameda,1/25/2021,396,40,436,2523,115,4,72
Alameda,1/26/2021,382,36,418,2504,115,5,71
Alameda,1/27/2021,359,41,400,2521,104,7,65
Alameda,1/28/2021,353,46,399,2524,107,8,63
Alameda,1/29/2021,347,39,386,2488,106,5,65
Alameda,1/30/2021,330,38,368,2515,99,6,70
Alameda,1/31/2021,318,31,349,2513,97,5,68
Alameda,2/1/2021,314,39,353,2494,100,3,67
Alameda,2/2/2021,316,35,351,2520,100,3,62
Alameda,2/3/2021,301,39,340,2523,98,3,71
Alameda,2/4/2021,302,42,344,2520,91,4,67
Alameda,2/5/2021,294,34,328,2498,85,2,73
Alameda,2/6/2021,282,37,319,2483,93,7,68
Alameda,2/7/2021,279,32,311,2445,90,4,72
Alameda,2/8/2021,273,28,301,2455,86,6,68
Alameda,2/9/2021,260,40,300,2471,79,5,72
Alameda,2/10/2021,242,41,283,2503,78,5,75
Alameda,2/11/2021,230,40,270,2517,75,6,67
Alameda,2/12/2021,219,39,258,2515,72,6,83
Alameda,2/13/2021,213,38,251,2522,70,4,73
Alameda,2/14/2021,201,49,250,2494,67,5,81
Alameda,2/15/2021,207,38,245,2495,64,3,84
Alameda,2/16/2021,200,37,237,2498,57,2,87
Alameda,2/17/2021,194,33,227,2499,58,1,76
Alameda,2/18/2021,183,29,212,2501,58,4,77
Alameda,2/19/2021,190,29,219,2519,60,3,79
Alameda,2/20/2021,176,26,202,2481,58,1,78
Alameda,2/21/2021,174,26,200,2461,55,1,78
Alameda,2/22/2021,180,23,203,2420,54,1,80
Alameda,2/23/2021,175,25,200,2438,49,4,78
Alameda,2/24/2021,172,22,194,2443,50,1,77
Alameda,2/25/2021,168,19,187,2466,46,1,87
Alameda,2/26/2021,157,24,181,2475,42,2,101
Alameda,2/27/2021,163,26,189,2466,38,4,95
Alameda,2/28/2021,152,26,178,2464,36,4,107
Alameda,3/1/2021,136,24,160,2434,33,2,108
Alameda,3/2/2021,140,25,165,2464,31,1,106
Alameda,3/3/2021,145,29,174,2459,32,1,111
Alameda,3/4/2021,140,27,167,2459,32,1,111
Alameda,3/5/2021,131,28,159,2456,36,2,104
Alameda,3/6/2021,116,29,145,2464,34,3,99
Alameda,3/7/2021,114,27,141,2434,33,2,112
Alameda,3/8/2021,118,22,140,2435,34,1,110
Alameda,3/9/2021,110,18,128,2466,32,1,101
Alameda,3/10/2021,111,18,129,2492,31,2,90
Alameda,3/11/2021,107,30,137,2494,31,1,86
Alameda,3/12/2021,118,27,145,2499,30,0,100
Alameda,3/13/2021,117,34,151,2517,34,4,99
Alameda,3/14/2021,114,32,146,2517,33,3,108
Alameda,3/15/2021,108,27,135,2501,31,3,105
Alameda,3/16/2021,100,25,125,2501,30,3,106
Alameda,3/17/2021,96,29,125,2506,29,2,84
Alameda,3/18/2021,94,37,131,2503,28,7,89
Alameda,3/19/2021,93,34,127,2501,25,4,79
Alameda,3/20/2021,85,38,123,2480,22,4,101
Alameda,3/21/2021,83,30,113,2471,22,3,102
Alameda,3/22/2021,79,32,111,2457,22,3,105
Alameda,3/23/2021,81,27,108,2469,21,4,95
Alameda,3/24/2021,84,26,110,2496,20,5,95
Alameda,3/25/2021,89,29,118,2508,22,5,87
Alameda,3/26/2021,85,27,112,2463,23,6,90
Alameda,3/27/2021,79,27,106,2455,23,5,98
Alameda,3/28/2021,84,29,113,2453,24,6,102
Alameda,3/29/2021,91,26,117,2444,27,5,101
Alameda,3/30/2021,89,23,112,2497,31,4,90
Alameda,3/31/2021,94,24,118,2512,34,6,88
Alameda,4/1/2021,93,24,117,2502,34,4,91
Alameda,4/2/2021,84,29,113,2513,30,3,94
Alameda,4/3/2021,76,29,105,2461,26,5,97
Alameda,4/4/2021,84,33,117,2439,27,7,103
Alameda,4/5/2021,82,31,113,2437,24,5,115
Alameda,4/6/2021,87,27,114,2462,23,4,114
Alameda,4/7/2021,81,26,107,2483,23,1,96
Alameda,4/8/2021,72,29,101,2476,22,2,100
Alameda,4/9/2021,69,31,100,2496,20,2,108
Alameda,4/10/2021,68,30,98,2496,19,3,105
Alameda,4/11/2021,68,27,95,2466,19,2,126
Alameda,4/12/2021,75,30,105,2471,19,3,120
Alameda,4/13/2021,74,36,110,2508,19,6,106
Alameda,4/14/2021,67,42,109,2512,21,4,105
Alameda,4/15/2021,72,38,110,2497,18,5,107
Alameda,4/16/2021,67,40,107,2520,15,3,103
Alameda,4/17/2021,69,42,111,2511,20,4,100
Alameda,4/18/2021,74,27,101,2470,22,3,98
Alameda,4/19/2021,78,29,107,2465,23,5,107
Alameda,4/20/2021,73,29,102,2467,23,6,90
Alameda,4/21/2021,66,27,93,2472,21,4,95
Alameda,4/22/2021,71,25,96,2480,22,3,87
Alameda,4/23/2021,66,34,100,2455,20,3,92
Alameda,4/24/2021,67,44,111,2455,20,6,95
Alameda,4/25/2021,77,37,114,2443,21,6,93
Alameda,4/26/2021,79,30,109,2431,20,5,103
Alameda,4/27/2021,86,32,118,2483,21,5,102
Alameda,4/28/2021,90,35,125,2513,19,6,105
Alameda,4/29/2021,84,37,121,2505,18,5,106
Alameda,4/30/2021,83,37,120,2517,20,6,99
Alameda,5/1/2021,84,28,112,2493,20,4,97
Alameda,5/2/2021,81,30,111,2487,20,4,117
Alameda,5/3/2021,75,30,105,2476,19,3,116
Alameda,5/4/2021,64,34,98,2508,19,6,113
Alameda,5/5/2021,59,33,92,2532,19,3,112
Alameda,5/6/2021,67,33,100,2532,19,4,109
Alameda,5/7/2021,63,35,98,2516,19,4,109
Alameda,5/8/2021,64,44,108,2518,19,4,112
Alameda,5/9/2021,65,39,104,2496,20,4,128
Alameda,5/10/2021,72,39,111,2480,19,5,121
Alameda,5/11/2021,73,47,120,2533,21,5,104
Alameda,5/12/2021,66,43,109,2532,19,5,99
Alameda,5/13/2021,68,39,107,2529,18,6,103
Alameda,5/14/2021,74,36,110,2517,18,5,102
Alameda,5/15/2021,78,38,116,2513,17,4,108
Alameda,5/16/2021,74,24,98,2495,19,4,115
Alameda,5/17/2021,64,23,87,2476,18,2,113
Alameda,5/18/2021,61,23,84,2494,18,3,101
Alameda,5/19/2021,67,22,89,2512,20,2,110
Alameda,5/20/2021,65,24,89,2502,20,4,108
Alameda,5/21/2021,55,20,75,2493,17,3,110
Alameda,5/22/2021,58,21,79,2505,16,2,122
Alameda,5/23/2021,58,20,78,2490,15,2,120
Alameda,5/24/2021,50,18,68,2482,14,2,122
Alameda,5/25/2021,52,22,74,2494,15,2,113
Alameda,5/26/2021,50,22,72,2528,14,4,97
Alameda,5/27/2021,47,21,68,2520,11,4,112
Alameda,5/28/2021,44,31,75,2506,11,8,108
Alameda,5/29/2021,40,29,69,2482,9,6,113
Alameda,5/30/2021,35,27,62,2456,10,7,123
Alameda,5/31/2021,37,27,64,2454,11,5,122
Alameda,6/1/2021,40,28,68,2464,12,4,109
Alameda,6/2/2021,36,23,59,2504,10,5,106
Alameda,6/3/2021,34,24,58,2493,9,5,110
Alameda,6/4/2021,30,28,58,2475,7,7,121
Alameda,6/5/2021,31,27,58,2467,6,7,119
Alameda,6/6/2021,28,23,51,2460,5,5,123
Alameda,6/7/2021,27,26,53,2433,4,8,108
Alameda,6/8/2021,20,30,50,2471,4,6,98
Alameda,6/9/2021,25,25,50,2480,5,6,90
Alameda,6/10/2021,30,30,60,2451,4,8,89
Alameda,6/11/2021,33,28,61,2467,5,6,87
Alameda,6/12/2021,33,30,63,2485,5,6,91
Alameda,6/13/2021,32,31,63,2484,5,6,92
Alameda,6/14/2021,37,30,67,2473,6,6,109
Alameda,6/15/2021,41,32,73,2493,7,6,104
Alameda,6/16/2021,48,30,78,2488,8,7,99
Alameda,6/17/2021,44,27,71,2494,11,3,97
Alameda,6/18/2021,37,33,70,2502,11,2,104
Alameda,6/19/2021,34,27,61,2481,10,3,115
Alameda,6/20/2021,42,29,71,2464,10,5,115
Alameda,6/21/2021,40,28,68,2438,11,2,122
Alameda,6/22/2021,46,27,73,2491,14,3,106
Alameda,6/23/2021,45,27,72,2517,15,3,106
Alameda,6/24/2021,46,29,75,2505,15,2,111
Alameda,6/25/2021,48,29,77,2485,15,2,126
Alameda,6/26/2021,45,25,70,2489,15,2,133
Alameda,6/27/2021,45,25,70,2489,17,1,131
Alameda,6/28/2021,42,19,61,2463,15,1,125
Alameda,6/29/2021,37,19,56,2461,13,1,110
Alameda,6/30/2021,39,22,61,2499,14,1,107
Alameda,7/1/2021,41,26,67,2505,15,3,103
Alameda,7/2/2021,46,22,68,2477,17,5,107
Alameda,7/3/2021,53,25,78,2474,17,6,110
Alameda,7/4/2021,55,22,77,2449,19,4,108
Alameda,7/5/2021,54,17,71,2433,20,3,111
Alameda,7/6/2021,61,23,84,2425,19,3,114
Alameda,7/7/2021,71,17,88,2441,17,2,114
Alameda,7/8/2021,69,24,93,2450,18,3,117
Alameda,7/9/2021,72,24,96,2450,19,0,114
Alameda,7/10/2021,64,27,91,2473,19,0,105
Alameda,7/11/2021,64,23,87,2478,21,1,106
Alameda,7/12/2021,66,22,88,2463,21,2,110
Alameda,7/13/2021,70,17,87,2463,19,3,108
Alameda,7/14/2021,70,17,87,2469,21,2,107
Alameda,7/15/2021,83,22,105,2493,26,3,98
Alameda,7/16/2021,89,25,114,2498,24,4,95
Alameda,7/17/2021,88,31,119,2470,27,3,97
Alameda,7/18/2021,92,26,118,2459,28,3,101
Alameda,7/19/2021,92,31,123,2463,30,3,111
Alameda,7/20/2021,93,26,119,2474,33,3,110
Alameda,7/21/2021,105,30,135,2505,35,5,103
Alameda,7/22/2021,120,32,152,2490,37,3,108
Alameda,7/23/2021,132,33,165,2465,37,3,108
Alameda,7/24/2021,127,26,153,2473,34,3,108
Alameda,7/25/2021,134,31,165,2468,36,5,113
Alameda,7/26/2021,141,34,175,2471,37,4,110
Alameda,7/27/2021,155,33,188,2493,39,6,95
Alameda,7/28/2021,160,32,192,2512,41,6,104
Alameda,7/29/2021,168,34,202,2522,42,6,99
Alameda,7/30/2021,176,34,210,2525,47,2,95
Alameda,7/31/2021,179,33,212,2502,49,2,98
Alameda,8/1/2021,179,30,209,2502,48,1,106
Alameda,8/2/2021,185,37,222,2477,49,4,106
Alameda,8/3/2021,196,34,230,2511,46,3,99
Alameda,8/4/2021,201,38,239,2513,48,2,104
Alameda,8/5/2021,201,38,239,2520,49,2,106
Alameda,8/6/2021,212,29,241,2494,51,1,108
Alameda,8/7/2021,208,34,242,2484,50,3,104
Alameda,8/8/2021,201,31,232,2472,50,4,101
Alameda,8/9/2021,211,35,246,2472,58,3,105
Alameda,8/10/2021,217,36,253,2508,57,3,90
Alameda,8/11/2021,203,37,240,2521,59,6,85
Alameda,8/12/2021,226,35,261,2509,58,4,81
Alameda,8/13/2021,236,27,263,2507,57,4,92
Alameda,8/14/2021,221,30,251,2496,57,2,92
Alameda,8/15/2021,222,28,250,2495,60,2,86
Alameda,8/16/2021,213,24,237,2477,61,1,88
Alameda,8/17/2021,228,21,249,2476,64,0,88
Alameda,8/18/2021,235,26,261,2499,69,3,83
Alameda,8/19/2021,223,22,245,2487,76,1,80
Alameda,8/20/2021,205,23,228,2491,80,1,79
Alameda,8/21/2021,202,25,227,2491,78,1,80
Alameda,8/22/2021,211,19,230,2476,83,2,87
Alameda,8/23/2021,217,18,235,2455,82,2,92
